Các điểm E(-1, 188):
k=188, lambda=596, x3=708, y3=370, kP=(708, 370)
k=189, lambda=384, x3=300, y3=94, kP=(300, 94)
k=190, lambda=152, x3=271, y3=559, kP=(271, 559)
k=191, lambda=442, x3=581, y3=605, kP=(581, 605)
k=192, lambda=244, x3=374, y3=337, kP=(374, 337)
k=193, lambda=428, x3=314, y3=560, kP=(314, 560)
k=194, lambda=562, x3=107, y3=120, kP=(107, 120)
k=195, lambda=391, x3=318, y3=740, kP=(318, 740)
k=196, lambda=50, x3=677, y3=85, kP=(677, 85)
k=197, lambda=672, x3=304, y3=488, kP=(304, 488)
k=198, lambda=296, x3=193, y3=75, kP=(193, 75)
k=199, lambda=613, x3=73, y3=638, kP=(73, 638)
k=200, lambda=245, x3=620, y3=527, kP=(620, 527)
k=201, lambda=69, x3=383, y3=55, kP=(383, 55)
k=202, lambda=10, x3=465, y3=627, kP=(465, 627)
k=203, lambda=120, x3=414, y3=236, kP=(414, 236)
k=204, lambda=366, x3=612, y3=143, kP=(612, 143)
k=205, lambda=639, x3=664, y3=424, kP=(664, 424)
k=206, lambda=446, x3=736, y3=508, kP=(736, 508)
k=207, lambda=473, x3=694, y3=583, kP=(694, 583)
k=208, lambda=28, x3=87, y3=642, kP=(87, 642)
k=209, lambda=687, x3=251, y3=91, kP=(251, 91)
k=210, lambda=609, x3=384, y3=20, kP=(384, 20)
k=211, lambda=548, x3=268, y3=464, kP=(268, 464)
k=212, lambda=543, x3=186, y3=504, kP=(186, 504)
k=213, lambda=647, x3=113, y3=165, kP=(113, 165)
k=214, lambda=650, x3=322, y3=667, kP=(322, 667)
k=215, lambda=108, x3=74, y3=583, kP=(74, 583)
k=216, lambda=135, x3=124, y3=177, kP=(124, 177)
k=217, lambda=20, x3=273, y3=598, kP=(273, 598)
k=218, lambda=119, x3=367, y3=232, kP=(367, 232)
k=219, lambda=46, x3=244, y3=169, kP=(244, 169)
k=220, lambda=278, x3=435, y3=54, kP=(435, 54)
k=221, lambda=466, x3=430, y3=23, kP=(430, 23)
k=222, lambda=44, x3=1, y3=78, kP=(1, 78)
k=223, lambda=717, x3=401, y3=4, kP=(401, 4)
k=224, lambda=200, x3=544, y3=685, kP=(544, 685)
k=225, lambda=265, x3=586, y3=201, kP=(586, 201)
k=226, lambda=504, x3=340, y3=619, kP=(340, 619)
k=227, lambda=189, x3=81, y3=268, kP=(81, 268)
k=228, lambda=581, x3=278, y3=178, kP=(278, 178)
k=229, lambda=88, x3=704, y3=635, kP=(704, 635)
k=230, lambda=363, x3=388, y3=672, kP=(388, 672)
k=231, lambda=544, x3=402, y3=724, kP=(402, 724)
k=232, lambda=318, x3=85, y3=199, kP=(85, 199)
k=233, lambda=158, x3=93, y3=39, kP=(93, 39)
k=234, lambda=259, x3=146, y3=503, kP=(146, 503)
k=235, lambda=161, x3=238, y3=456, kP=(238, 456)
k=236, lambda=526, x3=67, y3=121, kP=(67, 121)
k=237, lambda=741, x3=30, y3=260, kP=(30, 260)
k=238, lambda=649, x3=608, y3=118, kP=(608, 118)
k=239, lambda=133, x3=556, y3=39, kP=(556, 39)
k=240, lambda=565, x3=242, y3=135, kP=(242, 135)
k=241, lambda=497, x3=436, y3=326, kP=(436, 326)
k=242, lambda=221, x3=338, y3=304, kP=(338, 304)
k=243, lambda=104, x3=712, y3=603, kP=(712, 603)
k=244, lambda=719, x3=309, y3=19, kP=(309, 19)
k=245, lambda=243, x3=159, y3=383, kP=(159, 383)
k=246, lambda=142, x3=476, y3=414, kP=(476, 414)
k=247, lambda=474, x3=399, y3=36, kP=(399, 36)
k=248, lambda=679, x3=276, y3=120, kP=(276, 120)
k=249, lambda=292, x3=122, y3=539, kP=(122, 539)
k=250, lambda=36, x3=420, y3=749, kP=(420, 749)
k=251, lambda=54, x3=240, y3=710, kP=(240, 710)
k=252, lambda=323, x3=448, y3=447, kP=(448, 447)
k=253, lambda=217, x3=76, y3=671, kP=(76, 671)
k=254, lambda=472, x3=409, y3=614, kP=(409, 614)
k=255, lambda=660, x3=359, y3=93, kP=(359, 93)
k=256, lambda=15, x3=614, y3=588, kP=(614, 588)
k=257, lambda=307, x3=508, y3=412, kP=(508, 412)
k=258, lambda=35, x3=714, y3=639, kP=(714, 639)
k=259, lambda=341, x3=661, y3=161, kP=(661, 161)
k=260, lambda=709, x3=349, y3=253, kP=(349, 253)
k=261, lambda=450, x3=129, y3=366, kP=(129, 366)
k=262, lambda=277, x3=746, y3=704, kP=(746, 704)
k=263, lambda=101, x3=440, y3=162, kP=(440, 162)
k=264, lambda=33, x3=646, y3=550, kP=(646, 550)
k=265, lambda=746, x3=127, y3=610, kP=(127, 610)
k=266, lambda=344, x3=299, y3=302, kP=(299, 302)
k=267, lambda=275, x3=223, y3=321, kP=(223, 321)
k=268, lambda=749, x3=529, y3=291, kP=(529, 291)
k=269, lambda=436, x3=312, y3=446, kP=(312, 446)
k=270, lambda=400, x3=473, y3=491, kP=(473, 491)
k=271, lambda=319, x3=651, y3=554, kP=(651, 554)
k=272, lambda=177, x3=635, y3=25, kP=(635, 25)
k=273, lambda=246, x3=549, y3=103, kP=(549, 103)
k=274, lambda=615, x3=671, y3=718, kP=(671, 718)
k=275, lambda=91, x3=97, y3=448, kP=(97, 448)
k=276, lambda=500, x3=568, y3=617, kP=(568, 617)
k=277, lambda=25, x3=54, y3=217, kP=(54, 217)
k=278, lambda=490, x3=474, y3=508, kP=(474, 508)
k=279, lambda=422, x3=371, y3=151, kP=(371, 151)
k=280, lambda=582, x3=400, y3=244, kP=(400, 244)
k=281, lambda=203, x3=252, y3=511, kP=(252, 511)
k=282, lambda=563, x3=543, y3=125, kP=(543, 125)
k=283, lambda=633, x3=611, y3=389, kP=(611, 389)
k=284, lambda=449, x3=470, y3=587, kP=(470, 587)
k=285, lambda=429, x3=324, y3=465, kP=(324, 465)
k=286, lambda=95, x3=437, y3=65, kP=(437, 65)
k=287, lambda=431, x3=575, y3=537, kP=(575, 537)
k=288, lambda=425, x3=558, y3=680, kP=(558, 680)
k=289, lambda=556, x3=665, y3=659, kP=(665, 659)
k=290, lambda=499, x3=503, y3=573, kP=(503, 573)
k=291, lambda=282, x3=163, y3=681, kP=(163, 681)
k=292, lambda=375, x3=22, y3=375, kP=(22, 375)
k=293, lambda=454, x3=317, y3=124, kP=(317, 124)
k=294, lambda=163, x3=715, y3=339, kP=(715, 339)
k=295, lambda=550, x3=631, y3=50, kP=(631, 50)
